ForagerWord,Result
grebe,IN AZ
green lacewing,NOT IN AZ
green mamba,IN AZ
green tree frog,IN AZ
green tree python,IN AZ
greenfly,NOT IN AZ
greenling,NOT IN AZ
greenshank,NOT IN AZ
grenadier,NOT IN AZ
grey squirrel,NOT IN AZ
grey whale,NOT IN AZ
greyhound,IN AZ
greylag goose,NOT IN AZ
griffon,NOT IN AZ
griffon vulture,IN AZ
grizzly,NOT IN AZ
grizzly bear,IN AZ
grosbeak,NOT IN AZ
ground hog,NOT IN AZ
ground squirrel,IN AZ
groundfish,NOT IN AZ
groundhog,NOT IN AZ
grouper,IN AZ
grouse,IN AZ
grub,NOT IN AZ
grunt,NOT IN AZ
guan,NOT IN AZ
guanaco,NOT IN AZ
gudgeon,NOT IN AZ
guenon,NOT IN AZ
guerrilla,NOT IN AZ
guillemot,NOT IN AZ
guinea fowl,IN AZ
guinea hen,NOT IN AZ
guinea pig,IN AZ
guinea worm,NOT IN AZ
guineafowl,NOT IN AZ
gull,NOT IN AZ
gumboot chiton,NOT IN AZ
gunnel,NOT IN AZ
guppy,IN AZ
gurnard,NOT IN AZ
gypsy moth,IN AZ
gyrfalcon,NOT IN AZ
hackney,NOT IN AZ
haddock,IN AZ
hadrosaur,NOT IN AZ
hagfish,IN AZ
hairless cat,NOT IN AZ
hairstreak,NOT IN AZ
hairstreak butterfly,NOT IN AZ
hairy woodpecker,IN AZ
hake,NOT IN AZ
halcyon,NOT IN AZ
halibut,IN AZ
hammerhead,NOT IN AZ
hammerhead shark,IN AZ
hamster,IN AZ
hanover hound,NOT IN AZ
harambe,NOT IN AZ
harbor porpoise,IN AZ
harbor seal,IN AZ
hare,IN AZ
harp seal,IN AZ
harpy eagle,IN AZ
harrier,IN AZ
hart,NOT IN AZ
hartebeest,IN AZ
havanese dog,NOT IN AZ
hawk,IN AZ
hawk moth,NOT IN AZ
hawk owl,NOT IN AZ
hawkmoth,NOT IN AZ
hawksbill,NOT IN AZ
hawksbill turtle,NOT IN AZ
heath hen,NOT IN AZ
hedgehog,IN AZ
heifer,NOT IN AZ
hellbender,IN AZ
helminth,NOT IN AZ
hen,NOT IN AZ
hen harrier,NOT IN AZ
hermit,NOT IN AZ
hermit crab,IN AZ
hermit thrush,NOT IN AZ
heron,IN AZ
herring,IN AZ
herring gull,IN AZ
hexapod,NOT IN AZ
hinny,NOT IN AZ
hippo,NOT IN AZ
hippopotamus,IN AZ
hoary marmot,NOT IN AZ
hoatzin,NOT IN AZ
hog,NOT IN AZ
hogfish,IN AZ
hogg,NOT IN AZ
hogget,NOT IN AZ
hognose snake,IN AZ
hogs,NOT IN AZ
holstein,NOT IN AZ
homing pigeon,NOT IN AZ
hominid,NOT IN AZ
hominoid,NOT IN AZ
homo erectus,NOT IN AZ
homo habilis,NOT IN AZ
homo sapiens,NOT IN AZ
honey badger,IN AZ
honey bee,IN AZ
honey buzzard,IN AZ
honeybee,NOT IN AZ
honeycreeper,NOT IN AZ
hooded merganser,NOT IN AZ
hoofed mammal,NOT IN AZ
hookworm,NOT IN AZ
hoopoe,IN AZ
hoot owl,NOT IN AZ
hornbill,IN AZ
horned dinosaur,NOT IN AZ
horned lizard,IN AZ
horned owl,NOT IN AZ
horned toad,NOT IN AZ
hornet,IN AZ
horse,IN AZ
