ForagerWord,Result,,,,*If word from forager lexicon is in S2V,
wolfhound,IN VOCAB,,,,,
wolverine,IN VOCAB,,,,,
wolves,IN VOCAB,,,,,
woman,IN VOCAB,,,,,
wombat,NOT IN VOCAB,,,,,
wood pewee,NOT IN VOCAB,,,,,
wood stork,NOT IN VOCAB,,,,,
wood thrush,NOT IN VOCAB,,,,,
woodchuck,IN VOCAB,,,,,
woodcock,IN VOCAB,,,,,
woodcock snipe,NOT IN VOCAB,,,,,
woodland caribou,NOT IN VOCAB,,,,,
woodpecker,IN VOCAB,,,,,
woodworm,NOT IN VOCAB,,,,,
woolly adelgid,NOT IN VOCAB,,,,,
woolly bear,NOT IN VOCAB,,,,,
woolly mammoth,NOT IN VOCAB,,,,,
woolly monkey,NOT IN VOCAB,,,,,
woolly rhinoceros,NOT IN VOCAB,,,,,
worm,IN VOCAB,,,,,
wrasse,NOT IN VOCAB,,,,,
wren,IN VOCAB,,,,,
wriggler,NOT IN VOCAB,,,,,
xerus,NOT IN VOCAB,,,,,
yak,IN VOCAB,,,,,
yearling,NOT IN VOCAB,,,,,
yellow lab,NOT IN VOCAB,,,,,
yellow labrador,NOT IN VOCAB,,,,,
yellow perch,NOT IN VOCAB,,,,,
yellow warbler,NOT IN VOCAB,,,,,
yellowfin,NOT IN VOCAB,,,,,
yellowfin croaker,NOT IN VOCAB,,,,,
yellowfin tuna,NOT IN VOCAB,,,,,
yellowhammer,NOT IN VOCAB,,,,,
yellowjacket,NOT IN VOCAB,,,,,
yellowlegs,IN VOCAB,,,,,
yellowtail,NOT IN VOCAB,,,,,
yellowtail flounder,NOT IN VOCAB,,,,,
yellowtail snapper,NOT IN VOCAB,,,,,
yellowthroat,NOT IN VOCAB,,,,,
yorkie,NOT IN VOCAB,,,,,
yorkshire terrier,NOT IN VOCAB,,,,,
zebra,IN VOCAB,,,,,
zebra finch,NOT IN VOCAB,,,,,
zebra fish,NOT IN VOCAB,,,,,
zebra mussel,NOT IN VOCAB,,,,,
zebrafish,NOT IN VOCAB,,,,,
zebu,NOT IN VOCAB,,,,,
zooplankton,NOT IN VOCAB,,,,,
zorillo,NOT IN VOCAB,,,,,
painted dog,NOT IN VOCAB,,,,,
lightning bug,NOT IN VOCAB,,,,,
flying fox,NOT IN VOCAB,,,,,
tigerfish,NOT IN VOCAB,,,,,
sifaka,NOT IN VOCAB,,,,,
mockingjay,NOT IN VOCAB,,,,,
sphynx,NOT IN VOCAB,,,,,
