ForagerWord,Result,,,,*If word from forager lexicon is in S2V,
chimaera,IN VOCAB,,,,,
chimp,NOT IN VOCAB,,,,,
chimpanzee,NOT IN VOCAB,,,,,
chinch bug,NOT IN VOCAB,,,,,
chinchilla,NOT IN VOCAB,,,,,
chinook,IN VOCAB,,,,,
chinook salmon,NOT IN VOCAB,,,,,
chipmunk,IN VOCAB,,,,,
chipping sparrow,NOT IN VOCAB,,,,,
chocolate labrador,NOT IN VOCAB,,,,,
chough,NOT IN VOCAB,,,,,
chow chow,NOT IN VOCAB,,,,,
christmas tree worm,NOT IN VOCAB,,,,,
chub,NOT IN VOCAB,,,,,
chum salmon,NOT IN VOCAB,,,,,
cicada,NOT IN VOCAB,,,,,
cicada killer,NOT IN VOCAB,,,,,
cichlid,NOT IN VOCAB,,,,,
cichlid fish,NOT IN VOCAB,,,,,
civet,NOT IN VOCAB,,,,,
civet cat,NOT IN VOCAB,,,,,
clam,IN VOCAB,,,,,
cleaner shrimp,NOT IN VOCAB,,,,,
clown fish,NOT IN VOCAB,,,,,
clownfish,NOT IN VOCAB,,,,,
clydesdale,NOT IN VOCAB,,,,,
coati,NOT IN VOCAB,,,,,
coatimundi,NOT IN VOCAB,,,,,
cobia,NOT IN VOCAB,,,,,
cobra,IN VOCAB,,,,,
cochineal,IN VOCAB,,,,,
cock,IN VOCAB,,,,,
cockatiel,NOT IN VOCAB,,,,,
cockatoo,NOT IN VOCAB,,,,,
cocker,NOT IN VOCAB,,,,,
cocker spaniel,NOT IN VOCAB,,,,,
cockerel,NOT IN VOCAB,,,,,
cockle,IN VOCAB,,,,,
cockroach,NOT IN VOCAB,,,,,
cockroaches,NOT IN VOCAB,,,,,
cod,IN VOCAB,,,,,
codfish,IN VOCAB,,,,,
codling,NOT IN VOCAB,,,,,
codling moth,NOT IN VOCAB,,,,,
coelacanth,NOT IN VOCAB,,,,,
coho,NOT IN VOCAB,,,,,
coho salmon,NOT IN VOCAB,,,,,
collared lizard,NOT IN VOCAB,,,,,
collared peccary,NOT IN VOCAB,,,,,
collie,IN VOCAB,,,,,
colobus,NOT IN VOCAB,,,,,
colobus monkey,NOT IN VOCAB,,,,,
colt,IN VOCAB,,,,,
colugo,NOT IN VOCAB,,,,,
comb jelly,NOT IN VOCAB,,,,,
common murre,NOT IN VOCAB,,,,,
common scoter,NOT IN VOCAB,,,,,
common yellowthroat,NOT IN VOCAB,,,,,
conch,NOT IN VOCAB,,,,,
condor,NOT IN VOCAB,,,,,
coney,IN VOCAB,,,,,
conger,NOT IN VOCAB,,,,,
conger eel,NOT IN VOCAB,,,,,
constrictor,NOT IN VOCAB,,,,,
conure,NOT IN VOCAB,,,,,
coonhound,NOT IN VOCAB,,,,,
coot,NOT IN VOCAB,,,,,
cooter,NOT IN VOCAB,,,,,
copepod,NOT IN VOCAB,,,,,
copperhead,NOT IN VOCAB,,,,,
copperhead snake,NOT IN VOCAB,,,,,
coq,NOT IN VOCAB,,,,,
coral,IN VOCAB,,,,,
coral reef snake,NOT IN VOCAB,,,,,
coral snake,NOT IN VOCAB,,,,,
corbina,NOT IN VOCAB,,,,,
corgi,NOT IN VOCAB,,,,,
cormorant,NOT IN VOCAB,,,,,
corn borer,NOT IN VOCAB,,,,,
corn borer moth,NOT IN VOCAB,,,,,
corn earworm,NOT IN VOCAB,,,,,
corn snake,NOT IN VOCAB,,,,,
corncrake,NOT IN VOCAB,,,,,
cornish game hen,NOT IN VOCAB,,,,,
corydoras,NOT IN VOCAB,,,,,
cotton bollworm,NOT IN VOCAB,,,,,
cottonmouth,NOT IN VOCAB,,,,,
cottonmouth moccasin,NOT IN VOCAB,,,,,
cottontail,NOT IN VOCAB,,,,,
cottontail rabbit,NOT IN VOCAB,,,,,
cougar,IN VOCAB,,,,,
courser,IN VOCAB,,,,,
cow,IN VOCAB,,,,,
cowbird,NOT IN VOCAB,,,,,
cownose ray,NOT IN VOCAB,,,,,
cowrie,NOT IN VOCAB,,,,,
cowry,NOT IN VOCAB,,,,,
cows,IN VOCAB,,,,,
coyote,IN VOCAB,,,,,
coypu,NOT IN VOCAB,,,,,
crab,IN VOCAB,,,,,
crane,IN VOCAB,,,,,
cranefly,NOT IN VOCAB,,,,,
crappie,NOT IN VOCAB,,,,,
crawdad,NOT IN VOCAB,,,,,
crawfish,IN VOCAB,,,,,
crawler,NOT IN VOCAB,,,,,
crayfish,IN VOCAB,,,,,
crevalle jack,NOT IN VOCAB,,,,,
cricket,IN VOCAB,,,,,
crinoid,NOT IN VOCAB,,,,,
croaker,NOT IN VOCAB,,,,,
croc,NOT IN VOCAB,,,,,
crocodile,IN VOCAB,,,,,
crossbill,NOT IN VOCAB,,,,,
crow,IN VOCAB,,,,,
crucian carp,NOT IN VOCAB,,,,,
crustacean,NOT IN VOCAB,,,,,
cub,IN VOCAB,,,,,
cuckoo,IN VOCAB,,,,,
culex pipiens,NOT IN VOCAB,,,,,
curlew,IN VOCAB,,,,,
cuscus,NOT IN VOCAB,,,,,
cusk,NOT IN VOCAB,,,,,
cuttlefish,IN VOCAB,,,,,
cutworm,NOT IN VOCAB,,,,,
cygnet,NOT IN VOCAB,,,,,
dace,NOT IN VOCAB,,,,,
dachshund,NOT IN VOCAB,,,,,
daddy longlegs,NOT IN VOCAB,,,,,
dairy cattle,NOT IN VOCAB,,,,,
dairy cow,NOT IN VOCAB,,,,,
dall sheep,NOT IN VOCAB,,,,,
dalmatian,NOT IN VOCAB,,,,,
damsel fish,NOT IN VOCAB,,,,,
damselfish,NOT IN VOCAB,,,,,
damselfly,NOT IN VOCAB,,,,,
daphnia,NOT IN VOCAB,,,,,
darkling beetle,NOT IN VOCAB,,,,,
darning needle,NOT IN VOCAB,,,,,
darter,NOT IN VOCAB,,,,,
darwin frog,NOT IN VOCAB,,,,,
daschund,NOT IN VOCAB,,,,,
dear,IN VOCAB,,,,,
decapod,NOT IN VOCAB,,,,,
deer,IN VOCAB,,,,,
deerhound,IN VOCAB,,,,,
degu,NOT IN VOCAB,,,,,
desert tortoise,NOT IN VOCAB,,,,,
devil,IN VOCAB,,,,,
devon rex,NOT IN VOCAB,,,,,
diamondback,NOT IN VOCAB,,,,,
diamondback rattlesnake,NOT IN VOCAB,,,,,
diamondback terrapin,NOT IN VOCAB,,,,,
dik-dik,NOT IN VOCAB,,,,,
dingo,NOT IN VOCAB,,,,,
dinosaur,NOT IN VOCAB,,,,,
dinosaurs,NOT IN VOCAB,,,,,
diplodocus,NOT IN VOCAB,,,,,
doberman,NOT IN VOCAB,,,,,
doberman pinscher,NOT IN VOCAB,,,,,
dodo,IN VOCAB,,,,,
dodo bird,NOT IN VOCAB,,,,,
doe,IN VOCAB,,,,,
dog,IN VOCAB,,,,,
dogfish,NOT IN VOCAB,,,,,
doggie,NOT IN VOCAB,,,,,
doggy,NOT IN VOCAB,,,,,
dogs,IN VOCAB,,,,,
dolphin,IN VOCAB,,,,,
dolphinfish,NOT IN VOCAB,,,,,
domingo,IN VOCAB,,,,,
donkey,IN VOCAB,,,,,
doodlebug,NOT IN VOCAB,,,,,
dormouse,IN VOCAB,,,,,
dory,IN VOCAB,,,,,
dotterel,NOT IN VOCAB,,,,,
double-crested cormorant,NOT IN VOCAB,,,,,
dove,IN VOCAB,,,,,
downy woodpecker,NOT IN VOCAB,,,,,
dragon,IN VOCAB,,,,,
dragon lizard,NOT IN VOCAB,,,,,
dragonfly,NOT IN VOCAB,,,,,
drake,IN VOCAB,,,,,
dray horse,NOT IN VOCAB,,,,,
dromedary,IN VOCAB,,,,,
drosophila,NOT IN VOCAB,,,,,
drum fish,NOT IN VOCAB,,,,,
duck,IN VOCAB,,,,,
duckbill,NOT IN VOCAB,,,,,
duckbilled platypus,NOT IN VOCAB,,,,,
duckling,IN VOCAB,,,,,
ducks,IN VOCAB,,,,,
dugong,NOT IN VOCAB,,,,,
duiker,NOT IN VOCAB,,,,,
dung beetle,NOT IN VOCAB,,,,,
dungeness crab,NOT IN VOCAB,,,,,
dunlin,NOT IN VOCAB,,,,,
dusky shark,NOT IN VOCAB,,,,,
dwarf hamster,NOT IN VOCAB,,,,,
dwarf rabbit,NOT IN VOCAB,,,,,
dwarf sperm whale,NOT IN VOCAB,,,,,
eagle,IN VOCAB,,,,,
eagle ray,NOT IN VOCAB,,,,,
eaglet,NOT IN VOCAB,,,,,
eared grebe,NOT IN VOCAB,,,,,
earthworm,NOT IN VOCAB,,,,,
earwig,NOT IN VOCAB,,,,,
eastern cottontail,NOT IN VOCAB,,,,,
eastern indigo snake,NOT IN VOCAB,,,,,
eastern kingbird,NOT IN VOCAB,,,,,
eastern lowland gorilla,NOT IN VOCAB,,,,,
eastern meadowlark,NOT IN VOCAB,,,,,
eastern newt,NOT IN VOCAB,,,,,
eastern toebiter,NOT IN VOCAB,,,,,
echidna,NOT IN VOCAB,,,,,
echinoderm,NOT IN VOCAB,,,,,
eel,IN VOCAB,,,,,
eelpout,NOT IN VOCAB,,,,,
eels,IN VOCAB,,,,,
egret,NOT IN VOCAB,,,,,
eider,IN VOCAB,,,,,
eider duck,NOT IN VOCAB,,,,,
eland,NOT IN VOCAB,,,,,
electric eel,NOT IN VOCAB,,,,,
elephant,IN VOCAB,,,,,
elephant seal,NOT IN VOCAB,,,,,
elk,IN VOCAB,,,,,
elkhound,NOT IN VOCAB,,,,,
elver,NOT IN VOCAB,,,,,
emerald shiner,NOT IN VOCAB,,,,,
emperor penguin,NOT IN VOCAB,,,,,
emu,NOT IN VOCAB,,,,,
equine,NOT IN VOCAB,,,,,
ermine,IN VOCAB,,,,,
escolar,NOT IN VOCAB,,,,,
eugarie,NOT IN VOCAB,,,,,
evening grosbeak,NOT IN VOCAB,,,,,
ewe,IN VOCAB,,,,,
fairy shrimp,NOT IN VOCAB,,,,,
fairy tern,NOT IN VOCAB,,,,,
falcon,IN VOCAB,,,,,
fall armyworm,NOT IN VOCAB,,,,,
fall webworm,NOT IN VOCAB,,,,,
fallow deer,NOT IN VOCAB,,,,,
fawn,IN VOCAB,,,,,
feline,IN VOCAB,,,,,
fennec fox,NOT IN VOCAB,,,,,
ferret,IN VOCAB,,,,,
fiddler crab,NOT IN VOCAB,,,,,
filaria,NOT IN VOCAB,,,,,
filly,IN VOCAB,,,,,
fin whale,NOT IN VOCAB,,,,,
finback,NOT IN VOCAB,,,,,
finback whale,NOT IN VOCAB,,,,,
finch,IN VOCAB,,,,,
fire ant,NOT IN VOCAB,,,,,
firebird,NOT IN VOCAB,,,,,
firebug,NOT IN VOCAB,,,,,
firefly,IN VOCAB,,,,,
fish,IN VOCAB,,,,,
fish eagle,NOT IN VOCAB,,,,,
fisher,IN VOCAB,,,,,
fisher cat,NOT IN VOCAB,,,,,
flacon,NOT IN VOCAB,,,,,
flamingo,NOT IN VOCAB,,,,,
flatfish,NOT IN VOCAB,,,,,
flathead catfish,NOT IN VOCAB,,,,,
flatworm,NOT IN VOCAB,,,,,
flea,IN VOCAB,,,,,
flea beetle,NOT IN VOCAB,,,,,
flies,IN VOCAB,,,,,
flounder,IN VOCAB,,,,,
fly,IN VOCAB,,,,,
fly fish,NOT IN VOCAB,,,,,
flycatcher,IN VOCAB,,,,,
flying fish,NOT IN VOCAB,,,,,
flying monkey,NOT IN VOCAB,,,,,
flying snake,NOT IN VOCAB,,,,,
flying squirrel,NOT IN VOCAB,,,,,
foal,IN VOCAB,,,,,
forest tent caterpillar,NOT IN VOCAB,,,,,
fossa,NOT IN VOCAB,,,,,
four eye butterfly fish,NOT IN VOCAB,,,,,
foureye butterflyfish,NOT IN VOCAB,,,,,
fowl,IN VOCAB,,,,,
fox,IN VOCAB,,,,,
fox squirrel,NOT IN VOCAB,,,,,
fox terrier,NOT IN VOCAB,,,,,
foxes,IN VOCAB,,,,,
foxhound,IN VOCAB,,,,,
french bulldog,NOT IN VOCAB,,,,,
fresh water fish,NOT IN VOCAB,,,,,
freshwater eel,NOT IN VOCAB,,,,,
freshwater fish,NOT IN VOCAB,,,,,
freshwater mussel,NOT IN VOCAB,,,,,
friesian,NOT IN VOCAB,,,,,
frog,IN VOCAB,,,,,
frogfish,NOT IN VOCAB,,,,,
froghopper,NOT IN VOCAB,,,,,
frogmouth,NOT IN VOCAB,,,,,
fruit bat,NOT IN VOCAB,,,,,
fruit fly,NOT IN VOCAB,,,,,
fulmar,NOT IN VOCAB,,,,,
fungi,IN VOCAB,,,,,
fungus gnat,NOT IN VOCAB,,,,,
gaboon viper,NOT IN VOCAB,,,,,
gadfly,NOT IN VOCAB,,,,,
gal,IN VOCAB,,,,,
gall midge,NOT IN VOCAB,,,,,
