"","Subject","Group","Fluency_Item","Switch_Value","Switch_Method","domain","dimension","structure","alpha","method","param1","param2","param3","full_method","Cluster_Number","Switch","Switch_Number","row_id","fluency_score","semantic","phonological","frequency"
"38","CAM-666","NH","eagle",0,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",9,"Within Cluster Transition",NA,11,25,0.789440787334266,1e-04,4.13
"39","CAM-666","NH","moose",0,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",9,"Within Cluster Transition",NA,12,25,0.665995113739767,1e-04,3.61
"40","CAM-666","NH","deer",0,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",9,"Within Cluster Transition",NA,13,25,0.712843177902539,1e-04,4.12
"41","CAM-666","NH","mouse",0,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",9,"Within Cluster Transition",NA,14,25,0.664488395987412,1e-04,4.31
"42","CAM-666","NH","duck",0,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",9,"Within Cluster Transition",NA,15,25,0.767068009280539,1e-04,4.21
"43","CAM-666","NH","crow",0,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",9,"Within Cluster Transition",NA,16,25,0.699416617788262,1e-04,3.8
"44","CAM-666","NH","frog",0,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",9,"Within Cluster Transition",NA,17,25,0.734515714488255,0.25,3.89
"45","CAM-666","NH","tadpole",0,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",9,"Within Cluster Transition",NA,18,25,0.746025710236052,1e-04,2.51
"46","CAM-666","NH","caterpillar",0,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",9,"Within Cluster Transition",NA,19,25,0.740746899753022,0.375,3.38
"47","CAM-666","NH","butterfly",0,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",9,"Within Cluster Transition",NA,20,25,0.652569014113249,0.25,3.93
