"SID","Semantic_Similarity_mean","Semantic_Similarity_std","Frequency_Value_mean","Frequency_Value_std","Phonological_Similarity_mean","Phonological_Similarity_std","#_of_Items","Switch_Method","Number_of_Switches","Cluster_Size_mean","Cluster_Size_std"
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=1.0_fall=0.5",20,1.33333333333333,0.563436169819011
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=1.0_fall=0.8",19,1.4,0.734846922834953
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.4_rise=1.0_fall=1.0",16,1.64705882352941,1.64285176985517
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.0_fall=0.0",12,2.15384615384615,0.94837138507215
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.0_fall=0.2",12,2.15384615384615,0.94837138507215
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.0_fall=0.5",11,2.33333333333333,1.37436854187255
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.0_fall=0.8",9,2.8,1.66132477258361
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.0_fall=1.0",7,3.5,2.12132034355964
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.2_fall=0.0",14,1.86666666666667,0.956846672960488
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.2_fall=0.2",14,1.86666666666667,0.956846672960488
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.2_fall=0.5",13,2,1.36277028773849
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.2_fall=0.8",11,2.33333333333333,1.69967317119759
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.2_fall=1.0",9,2.8,2.22710574513201
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.5_fall=0.0",14,1.86666666666667,0.956846672960488
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.5_fall=0.2",14,1.86666666666667,0.956846672960488
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.5_fall=0.5",13,2,1.36277028773849
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.5_fall=0.8",11,2.33333333333333,1.69967317119759
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.5_fall=1.0",9,2.8,2.22710574513201
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.8_fall=0.0",16,1.64705882352941,0.903664205631601
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.8_fall=0.2",16,1.64705882352941,0.903664205631601
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.8_fall=0.5",15,1.75,1.29903810567666
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.8_fall=0.8",12,2.15384615384615,1.56136793309111
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=0.8_fall=1.0",10,2.54545454545455,2.10469761868913
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=1.0_fall=0.0",17,1.55555555555556,0.831479419283098
"883631457",NA,NA,NA,NA,NA,NA,NA,"multimodaldelta_alpha=0.5_rise=1.0_fall=0.2",17,1.55555555555556,0.831479419283098
