Forager_Word,Found,Original Found,AZ Close Matches
caddis fly,FALSE,FALSE,No close match found
caecilian,TRUE,TRUE,"caecilian, cave lion, cape lion"
caiman,TRUE,TRUE,"caiman, waimanu, taipan"
cairn terrier,TRUE,TRUE,"cairn terrier, irish terrier, airedale terrier"
calf,TRUE,FALSE,"coral, camel"
calico cat,FALSE,FALSE,No close match found
camel,TRUE,TRUE,"camel, chameleon"
cameo,TRUE,FALSE,"camel, chameleon, chamois"
canary,TRUE,FALSE,"manta ray, jacana, cassowary"
canebrake rattlesnake,TRUE,FALSE,"aruba rattlesnake, prairie rattlesnake, tiger rattlesnake"
canine,TRUE,FALSE,"crane, cantil, caiman"
canis lupus,FALSE,FALSE,No close match found
cankerworm,TRUE,FALSE,"corn earworm, sandworm, armyworm"
canvasback,TRUE,TRUE,canvasback
canvasback duck,TRUE,FALSE,canvasback
cape buffalo,TRUE,FALSE,"water buffalo, buffalo, cape lion"
capelin,TRUE,FALSE,"cape lion, cave lion, caecilian"
capercaillie,TRUE,FALSE,caecilian
capibara,TRUE,FALSE,capybara
caplin,TRUE,FALSE,"cape lion, capuchin, cave lion"
capon,TRUE,FALSE,"tarpon, cape lion, cavapoo"
capuchin,TRUE,TRUE,"capuchin, sea urchin"
capuchin monkey,TRUE,FALSE,capuchin
capybara,TRUE,TRUE,capybara
carabao,TRUE,FALSE,"crab, caribou, caracal"
caracal,TRUE,TRUE,"caracal, coral, cascabel"
caracara,TRUE,FALSE,"caracal, yarara"
cardinal,TRUE,TRUE,"cardinal, gharial, caracal"
caribou,TRUE,TRUE,caribou
carp,TRUE,TRUE,carp
carpenter ant,TRUE,TRUE,"carpenter ant, cane rat"
carpenter bee,TRUE,FALSE,"carpet beetle, carpenter ant"
carpet beetle,TRUE,TRUE,"carpet beetle, scarab beetle, larder beetle"
carrier pigeon,FALSE,FALSE,No close match found
carrion crow,FALSE,FALSE,No close match found
carthorse,TRUE,FALSE,"horse, seahorse, earthworm"
cartilaginous fish,FALSE,FALSE,No close match found
cassowary,TRUE,TRUE,cassowary
cat,TRUE,TRUE,"cat, coati, rat"
catamount,FALSE,FALSE,No close match found
catbird,TRUE,FALSE,"gray catbird, bird, frigatebird"
caterpillar,TRUE,TRUE,"caterpillar, asp caterpillar, tent caterpillar"
catfish,TRUE,TRUE,"catfish, batfish, crayfish"
cattle,TRUE,FALSE,"rottle, nguni cattle, cat"
cattle egret,TRUE,FALSE,"great egret, sable ferret"
cavalier king charles spaniel,TRUE,TRUE,cavalier king charles spaniel
cavy,FALSE,FALSE,No close match found
cayote,TRUE,FALSE,"coyote, icadyptes, cat"
cedar waxwing,TRUE,TRUE,cedar waxwing
centipede,TRUE,TRUE,centipede
cephalopod,TRUE,FALSE,cephalaspis
ceratopsian,TRUE,TRUE,"ceratopsian, xenoceratops, ceratosaurus"
cervid,FALSE,FALSE,No close match found
cetacean,TRUE,FALSE,coelacanth
chachalaca,FALSE,FALSE,No close match found
chaffinch,TRUE,FALSE,finch
chain pickerel,TRUE,TRUE,"chain pickerel, king mackerel"
chambered nautilus,FALSE,FALSE,No close match found
chameleon,TRUE,TRUE,"chameleon, camel, pademelon"
chamois,TRUE,TRUE,chamois
channel catfish,TRUE,FALSE,"eel catfish, wels catfish, white catfish"
char,TRUE,FALSE,"hare, carp, shark"
charolais,TRUE,FALSE,"chamois, cephalaspis, machaeroides"
cheep,TRUE,FALSE,"sheep, cheetah, cheagle"
cheetah,TRUE,TRUE,cheetah
chetah,TRUE,FALSE,cheetah
chewbacca,FALSE,FALSE,No close match found
chick,TRUE,FALSE,"chicken, chickadee, tick"
chickadee,TRUE,TRUE,"chickadee, chicken, sika deer"
chicken,TRUE,TRUE,"chicken, chickadee, cricket"
chigger,TRUE,TRUE,"chigger, tiger, liger"
chihuahua,TRUE,TRUE,"chihuahua, chihuahua mix, teacup chihuahua"
chimaera,TRUE,TRUE,"chimaera, chimpanzee, chigger"
chimp,TRUE,FALSE,"shrimp, chipoo, chipit"
chimpanzee,TRUE,TRUE,"chimpanzee, chimaera"
chinch bug,FALSE,FALSE,No close match found
chinchilla,TRUE,TRUE,"chinchilla, chi chi, whinchat"
chinook,TRUE,TRUE,"chinook, chipoo, chipmunk"
chinook salmon,TRUE,TRUE,"chinook salmon, pink salmon, king salmon"
chipmunk,TRUE,TRUE,"chipmunk, eastern chipmunk, chinook"
chipping sparrow,TRUE,TRUE,"chipping sparrow, song sparrow"
chocolate labrador,TRUE,FALSE,silver labrador
chough,TRUE,FALSE,cougar
chow chow,TRUE,TRUE,"chow chow, chow pom"
christmas tree worm,TRUE,FALSE,christmas beetle
chub,FALSE,FALSE,No close match found
chum salmon,TRUE,FALSE,"chinook salmon, salmon"
cicada,TRUE,TRUE,"cicada, chickadee"
cicada killer,FALSE,FALSE,No close match found
cichlid,TRUE,TRUE,"cichlid, uaru cichlid, mayan cichlid"
cichlid fish,TRUE,FALSE,"cichlid, killifish"
civet,TRUE,FALSE,cricket
civet cat,FALSE,FALSE,No close match found
clam,TRUE,FALSE,"llama, camel"
cleaner shrimp,TRUE,FALSE,amano shrimp
clown fish,TRUE,FALSE,"clownfish, lionfish, flowerhorn fish"
clownfish,TRUE,TRUE,"clownfish, lionfish, codfish"
clydesdale,FALSE,FALSE,No close match found
coati,TRUE,TRUE,"coati, cat, cantil"
coatimundi,TRUE,FALSE,coati
cobia,TRUE,FALSE,"cobras, cobia fish"
cobra,TRUE,FALSE,"cobras, coral, king cobra"
cochineal,TRUE,FALSE,schneagle
cock,TRUE,FALSE,"cockle, peacock, cockatoo"
cockatiel,TRUE,TRUE,"cockatiel, cockalier, coati"
cockatoo,TRUE,TRUE,"cockatoo, cockapoo, cuckoo"
cocker,TRUE,FALSE,"cockle, cockalier, oxpecker"
cocker spaniel,TRUE,TRUE,"cocker spaniel, english cocker spaniel, clumber spaniel"
cockerel,TRUE,FALSE,"cocker spaniel, cockle, cockatiel"
cockle,TRUE,TRUE,"cockle, cockalier, crocodile"
cockroach,TRUE,TRUE,"cockroach, dubia cockroach, cuban cockroach"
cockroaches,TRUE,FALSE,"cockroach, dubia cockroach, cuban cockroach"
cod,TRUE,FALSE,cow
codfish,TRUE,TRUE,"codfish, toadfish, goldfish"
codling,TRUE,FALSE,"olingo, codling moth, dingo"
codling moth,TRUE,TRUE,"codling moth, spongy moth, spongy moth"
coelacanth,TRUE,TRUE,"coelacanth, polacanthus, xenacanthus"
coho,FALSE,FALSE,No close match found
coho salmon,TRUE,FALSE,"chinook salmon, salmon"
collared lizard,TRUE,FALSE,"horned lizard, leopard lizard, frilled lizard"
collared peccary,TRUE,TRUE,collared peccary
collie,TRUE,TRUE,"collie, gollie, shollie"
colobus,FALSE,FALSE,No close match found
colobus monkey,TRUE,FALSE,"woolly monkey, proboscis monkey, howler monkey"
colt,TRUE,FALSE,"coral, coati"
colugo,TRUE,FALSE,"olingo, cougar"
comb jelly,TRUE,FALSE,comb jellyfish
common murre,TRUE,FALSE,"common raven, common frog, common carp"
common scoter,TRUE,FALSE,"common carp, common toad, common loon"
common yellowthroat,TRUE,TRUE,"common yellowthroat, yellowthroat, common toad"
conch,FALSE,FALSE,No close match found
condor,TRUE,FALSE,"komondor, corgidor, john dory"
coney,TRUE,FALSE,"zonkey, monkey, donkey"
conger,TRUE,FALSE,"onager, conger eel, sponge"
conger eel,TRUE,TRUE,"conger eel, mongrel, gulper eel "
constrictor,TRUE,FALSE,"img boa constrictor, ostrich"
conure,TRUE,TRUE,"conure, cougar, corkie"
coonhound,TRUE,FALSE,"bloodhound, redbone coonhound, bluetick coonhound"
coot,TRUE,FALSE,"coyote, coati"
cooter,TRUE,FALSE,"coyote, rooster, otter"
copepod,FALSE,FALSE,No close match found
copperhead,TRUE,TRUE,copperhead
copperhead snake,TRUE,FALSE,"copperhead, coral snake, gopher snake"
coq,TRUE,FALSE,cow
coral,TRUE,TRUE,"coral, goral, cobras"
coral reef snake,TRUE,FALSE,"coral snake, wolf snake, tree snake"
coral snake,TRUE,TRUE,"coral snake, corn snake, cat snake"
corbina,TRUE,FALSE,"scorpion, robin, oribi"
corgi,TRUE,FALSE,"horgi, dorgi, corgipoo"
cormorant,TRUE,TRUE,"cormorant, common raven"
corn borer,TRUE,FALSE,european corn borer
corn borer moth,FALSE,FALSE,No close match found
corn earworm,TRUE,TRUE,"corn earworm, earthworm"
corn snake,TRUE,TRUE,"corn snake, coral snake, congo snake"
corncrake,TRUE,FALSE,"corn snake, coral snake, corkie"
cornish game hen,TRUE,FALSE,modern game chicken
corydoras,TRUE,FALSE,"corgidor, cormorant, cobras"
cotton bollworm,TRUE,FALSE,pink bollworm
cottonmouth,TRUE,TRUE,"cottonmouth, comet moth"
cottonmouth moccasin,TRUE,FALSE,cottonmouth
cottontail,TRUE,FALSE,"eastern cottontail, cottonmouth"
cottontail rabbit,FALSE,FALSE,No close match found
cougar,TRUE,TRUE,"cougar, gar, conure"
courser,TRUE,FALSE,"conure, coues deer, zorse"
cow,TRUE,TRUE,"cow, crow, owl"
cowbird,TRUE,FALSE,"bird, ovenbird"
cownose ray,FALSE,FALSE,No close match found
cowrie,TRUE,FALSE,"corkie, chorkie, torkie"
cowry,TRUE,FALSE,"cow, cassowary, crow"
cows,TRUE,FALSE,"cow, crow"
coyote,TRUE,TRUE,"coyote, oyster"
coypu,FALSE,FALSE,No close match found
crab,TRUE,TRUE,"crab, crane, coral"
crane,TRUE,TRUE,"crane, crab"
cranefly,TRUE,FALSE,"crane, dragonfly, firefly"
crappie,TRUE,FALSE,"crappie fish, white crappie, black crappie"
crawdad,FALSE,FALSE,No close match found
crawfish,TRUE,FALSE,"crayfish, sawfish, catfish"
crawler,TRUE,FALSE,"crane, coral"
crayfish,TRUE,TRUE,"crayfish, catfish, ladyfish"
crevalle jack,FALSE,FALSE,No close match found
cricket,TRUE,TRUE,"cricket, tree cricket, mole cricket"
crinoid,FALSE,FALSE,No close match found
croaker,TRUE,FALSE,crane
croc,TRUE,FALSE,crow
crocodile,TRUE,TRUE,"crocodile, nile crocodile, dwarf crocodile"
crossbill,FALSE,FALSE,No close match found
crow,TRUE,TRUE,"crow, cow"
crucian carp,TRUE,TRUE,"crucian carp, asian carp"
crustacean,FALSE,FALSE,No close match found
cub,FALSE,FALSE,No close match found
cuckoo,TRUE,TRUE,"cuckoo, cockatoo, cockapoo"
culex pipiens,FALSE,FALSE,No close match found
curlew,TRUE,FALSE,conure
cuscus,TRUE,FALSE,discus
cusk,TRUE,FALSE,"chusky, husky"
cuttlefish,TRUE,TRUE,"cuttlefish, catfish, mullet fish"
cutworm,TRUE,FALSE,"worm, inchworm"
cygnet,TRUE,FALSE,genet
dace,FALSE,FALSE,No close match found
dachshund,TRUE,TRUE,"dachshund, dachshund mix, dapple dachshund"
daddy longlegs,FALSE,FALSE,No close match found
