Word,Found,Original Found,Close Matches
grouse,True,True,"grouse, rouse, rouses"
grub,True,True,"grub, grubs, grubb"
grunt,True,True,"grunt, grunts, grunted"
guanaco,True,True,"guanaco, guiana, guidance"
guerrilla,True,True,"guerrilla, guerrillas, gorilla"
guinea,True,True,"guinea, guineas, guienne"
gull,True,True,"gull, gully, gulls"
guppy,True,False,"puppy, guy, supply"
gypsy moth,True,False,"plymouth, gypsy"
hackney,True,True,"hackney, hackneyed, lackey"
haddock,True,True,"haddock, paddock, hock"
halcyon,True,True,"halcyon, hacon, falcon"
halibut,True,False,"haut, halt, hurlbut"
hammerhead shark,True,False,hammered
hammerhead sharks,False,False,No close match found
hammerheads,True,False,"hammered, hammers, hampered"
hare,True,True,"hare, share, havre"
hart,True,True,"hart, heart, harts"
hawk,True,True,"hawk, hawks, haw"
hedgehog,True,True,"hedgehog, hedge, hedgerow"
heifer,True,True,"heifer, heifers, heir"
hen,True,True,"hen, when, then"
herd,True,True,"herd, herod, herds"
herdmates,True,False,"hermes, hermits, terminates"
hermit,True,True,"hermit, hermits, hermit's"
heron,True,True,"heron, herons, hermon"
herring,True,True,"herring, herrings, erring"
hippo,True,False,"hippy, hip, tippoo"
hippopotamus,True,True,"hippopotamus, hippolyta"
hog,True,True,"hog, hong, hogs"
hognose,True,False,"honors, honore, choose"
hogs,True,True,"hogs, hog's, ogs"
holstein,True,False,"thorstein, holster, stein"
holstein cow,True,False,thorstein
holstein cows,True,False,holsters
holstein dairy,True,False,"upholstery, holster, holiday"
holstein friesian cows,False,False,No close match found
honey buzzard,True,False,buzzard
hoopoe,True,True,"hoopoe, hoopoes, hooper"
horned lizard,True,False,cornelia
horned rhino,True,False,"horner, horned"
horse,True,True,"horse, horses, horsed"
horseman,True,True,"horseman, horsewoman, horsemen"
horses,True,True,"horses, horse's, hoses"
hound,True,True,"hound, hounds, wound"
human,True,True,"human, humans, humane"
hummingbird,True,False,"humming, summing, hemming"
humpback whale,True,False,unimpeachable
huntsman,True,True,"huntsman, huntsman's, huntsmen"
husky,True,True,"husky, husk, huskily"
hydra,True,True,"hydra, hydrate, heyday"
hyena,True,True,"hyena, hyenas, hyaena"
hyenas,True,True,"hyenas, hyaenas, hyena"
ibex,True,True,"ibex, gibe, tribe"
iguana,True,False,"guiana, guanaco, wigan"
indochinese tiger,True,False,"winchester, dorchester"
indochinese tigers,True,False,"winchesters, winchester's"
insect,True,True,"insect, inspect, insects"
insect pest,True,False,"insects, insect, incest"
insect pests,True,False,"insects, interests, inspected"
insects,True,True,"insects, insect, inspect"
invasive insect,True,False,invasions
jack,True,True,"jack, jacky, jacks"
jackal,True,True,"jackal, jackals, jacal"
jackass,True,True,"jackass, jackals, jacks"
jackdaw,True,True,"jackdaw, jackdaws, jackal"
jaguar,True,True,"jaguar, january, angular"
jaguar cubs,True,False,jaguar
jay,True,True,"jay, ja, ay"
jellyfish,True,True,"jellyfish, elfish, shellfish"
jockey,True,True,"jockey, joke, jock"
kangaroo,True,True,"kangaroo, kangaroos, kangaroo's"
kelpie,True,True,"kelpie, kelp, epine"
kestrel,True,False,"kernel, keel, vesture"
kiang,True,True,"kiang, king, kings"
kid,True,True,"kid, skid, kind"
killer,True,True,"killer, killers, tiller"
killer whale,True,False,"killer, illiberal"
king salmon,True,False,"kingston, salmon, salmons"
kingfisher,True,True,"kingfisher, fisher, fishery"
kite,True,True,"kite, kites, kit"
kitten,True,True,"kitten, kittens, kitten's"
kittens,True,True,"kittens, kitten's, kitten"
kitties,True,False,"kittens, ditties, kites"
kitty,True,True,"kitty, kitty's, witty"
kokanee,True,False,"koane, knee, kane"
komodo dragon,False,False,No close match found
lab,True,True,"lab, slab, lamb"
labrador,True,True,"labrador, labor, ardor"
labrador retriever,False,False,No close match found
ladybird,True,True,"ladybird, laird, blackbird"
ladybug,True,True,"ladybug, lady, laugh"
lake trout,True,False,"trout, blackett, aeronaut"
lamb,True,True,"lamb, lambs, lab"
lambs,True,True,"lambs, lamb's, lamb"
langur,True,False,"languor, lang, languid"
largemouth bass,False,False,No close match found
lark,True,True,"lark, larks, clark"
larva,True,True,"larva, larvae, lava"
larvae,True,True,"larvae, larva, lave"
leech,True,True,"leech, leeches, beech"
lemming,True,True,"lemming, lemmings, clemming"
lemur,True,False,"demur, fleury, demure"
leopard,True,True,"leopard, leopards, leonard"
leopard cub,True,False,"leopard, leopards, leonard"
leopards,True,True,"leopards, leopard, leonards"
leopards elephants,True,False,elephants
lhasa apso,True,False,lasso
lice,True,True,"lice, slice, alice"
linnet,True,True,"linnet, linnets, lint"
lion,True,True,"lion, lions, lin"
lion cub,True,False,lion
lion cubs,True,False,"lions, locust, liones"
lioness,True,True,"lioness, lionesse, liones"
lions,True,True,"lions, liones, lion's"
lions leopards,True,False,"leopards, leopard"
livestock,True,False,"stock, lives, elveston"
lizard,True,True,"lizard, lizards, lizard's"
lizards,True,True,"lizards, lizard's, lizard"
llama,True,True,"llama, lama, lamar"
loach,True,True,"loach, loch, roach"
loaches,True,False,"laches, coaches, loach"
lobster,True,True,"lobster, lobsters, loser"
lobsters,True,True,"lobsters, lobster, cloisters"
locust,True,True,"locust, locusts, lust"
loon,True,True,"loon, kloon, loo"
louse,True,True,"louse, louise, blouse"
lowland gorilla,False,False,No close match found
lunker bass,True,False,"blunderbuss, yunkers, blunderbusses"
lynx,True,True,"lynx, lyn, lyon"
mackerel,True,True,"mackerel, maker, merely"
maggot,True,True,"maggot, margot, faggot"
magpie,True,True,"magpie, magpies, margie"
maine coon cat,False,False,No close match found
mako shark,True,False,shark
mako sharks,True,False,"sharks, mahars, shark's"
malayan sun,True,False,"maleagans, himalayas"
mallard,True,False,"millard, ballard, millward"
maltese,True,True,"maltese, mates, males"
mammal,True,False,"mammals, mamma, mammae"
mammoth,True,True,"mammoth, marmot, mammon"
man,True,True,"man, oman, moan"
mandrill,True,False,"marilla, drill, mantilla"
mare,True,True,"mare, marne, marie"
mares,True,True,"mares, meares, mare's"
marlin,True,False,"marline, merlin, marvin"
marmot,True,True,"marmot, margot, mart"
marten,True,True,"marten, martin, marken"
masai giraffe,False,False,No close match found
mastiff,True,True,"mastiff, stiff, tiff"
mastiff mix,True,False,mastiff
mastodon,True,True,"mastodon, maston, marston"
medusa,True,True,"medusa, musa, mesa"
merlin,True,True,"merlin, merwin, merino"
mice,True,True,"mice, mince, ice"
microbe,True,True,"microbe, robe, mire"
midge,True,True,"midge, midget, ridge"
migratory bird,True,False,migratory
miniature dachshund,True,False,miniatures
miniature poodle,True,False,"miniature, miniatures"
mink,True,True,"mink, minks, min"
minke whale,True,False,"inhale, mineral, inhaled"
minnow,True,True,"minnow, minnows, minos"
minx,True,True,"minx, mix, min"
mite,True,True,"mite, smite, mitre"
mites,True,True,"mites, smites, mitres"
moccasin,True,True,"moccasin, moccasins, moccasined"
moggy,True,False,"foggy, boggy, goggly"
mole,True,True,"mole, moles, ole"
mollusc,True,False,"mollusca, mollusk, mollusks"
mollusk,True,True,"mollusk, mollusks, mollusca"
molly,True,True,"molly, moll, morally"
mongoose,True,True,"mongoose, noose, moose"
mongrel,True,True,"mongrel, montreal, morsel"
monitor,True,True,"monitor, motor, montfort"
monitor lizard,True,False,monitor
monkey,True,True,"monkey, monkeys, money"
monkeys,True,True,"monkeys, monkey's, monkey"
monster,True,True,"monster, monsters, monster's"
moose,True,True,"moose, morose, noose"
moray,True,True,"moray, mowbray, morally"
moray eel,True,False,"moray, moral, mortal"
moray eels,True,False,"morals, mortals, morsels"
mosquito,True,True,"mosquito, mosquitos, mosquitoes"
moth,True,True,"moth, mouth, moths"
moth larvae,True,False,"larvae, samothrace"
moths,True,True,"moths, mouths, months"
mouse,True,True,"mouse, smouse, mouser"
mouse lemur,True,False,"mouser, moslem, moulder"
mudfish,True,False,"mush, fish, dish"
mule,True,True,"mule, mules, maule"
mules,True,True,"mules, mule, muzzles"
mullet,True,True,"mullet, pullet, mulled"
muskrat,True,True,"muskrat, muskrats, murat"
mussel,True,True,"mussel, mussels, muse"
mussels,True,True,"mussels, mussel, muses"
mustang,True,True,"mustang, mustanger, usanga"
narwhale,True,True,"narwhale, whale, whales"
nautilus,True,True,"nautilus, nautilus's, incautious"
nematode,True,False,"inmate, tode, newgate"
nematodes,True,False,"neatest, inmates, modes"
newfoundland,True,True,"newfoundland, newland, wonderland"
newt,True,True,"newt, new, net"
nightingale,True,True,"nightingale, nightingales, nightingale's"
nile crocodile,True,False,"crocodile, crocodiles, crocodile's"
nudibranch,True,False,"branch, ranch, nuisance"
nuthatch,True,True,"nuthatch, thatch, hatch"
ocean sunfish,True,False,sunfish
octopi,True,False,"topic, utopia, tropic"
octopus,True,False,"corpus, tops, opus"
octopuses,True,False,"copses, courses, corpses"
octupus,True,False,"opus, cups, cupfuls"
orang,True,True,"orang, orange, rang"
orang utan,True,False,orang
orangutan,True,False,"orang, rangon, ragout"
orca,True,False,"dorcas, nora, lora"
oriole,True,True,"oriole, orioles, role"
oscar,True,True,"oscar, scar, scars"
osprey,True,False,"spry, prey, spree"
ostrich,True,True,"ostrich, ostriches, strict"
ostriches,True,True,"ostriches, ostrich, stitches"
otter,True,True,"otter, totter, potter"
owl,True,True,"owl, owls, jowl"
owls,True,True,"owls, howls, fowls"
ox,True,True,"ox, pox, fox"
oxen,True,True,"oxen, oxygen, owen"
oyster,True,True,"oyster, oysters, oyster's"
oysters,True,True,"oysters, oyster's, oyster"
pachyderm,True,False,"poacher, preacher, poachers"
pachyderms,True,False,"poachers, preachers, prayers"
panda,True,False,"panada, pandora, panza"
panna tiger,True,False,"panniers, tanager, planter"
panther,True,True,"panther, panthers, planter"
papillon,True,True,"papillon, pillion, pavilion"
parakeet,True,True,"parakeet, partake, parapet"
parasitic wasp,True,False,"parasitic, parasites"
parasitic wasps,True,False,"parasitic, parasites"
parrot,True,True,"parrot, parrots, carrot"
partridge,True,True,"partridge, partridges, cartridge"
peacock,True,True,"peacock, peacocks, peacock's"
pegasus,True,True,"pegasus, pleasures, pegs"
pelagic fish,True,False,elfish
pelican,True,True,"pelican, publican, pemmican"
penguin,True,True,"penguin, penguins, engine"
penguin chick,True,False,"penguin, penguins"
perch,True,True,"perch, perches, perched"
peregrine,True,True,"peregrine, peering, perverting"
peregrine falcon,True,False,"peregrinations, peregrine"
persian,True,True,"persian, persians, persia"
person,True,True,"person, pierson, pherson"
pest,True,True,"pest, prest, pests"
pest insects,True,False,"insects, pretenses, precincts"
pests,True,True,"pests, pets, pest"
pet,True,True,"pet, poet, pett"
pets,True,True,"pets, poets, pests"
pewee,True,True,"pewee, pelee, wee"
pheasant,True,True,"pheasant, pheasants, peasant"
phoenix,True,True,"phoenix, phoenix's, phoenicia"
pig,True,True,"pig, prig, pigs"
pigeon,True,True,"pigeon, pigeons, pierson"
piggy,True,True,"piggy, pigmy, peggy"
piglet,True,False,"pile, spilett, picolet"
piglets,True,False,"piles, ringlets, pilots"
pigs,True,True,"pigs, pig's, pig"
pike,True,True,"pike, spike, pikes"
pikeminnows,True,False,"minnows, minnow"
pit bull,True,False,"pitifully, spitefully, pull"
pit bull mix,False,False,No close match found
pit bulls,True,False,"pulls, pills, bulls"
pitbull,True,False,"pitifully, pull, pill"
pitt bull,True,False,"pittsburg, pitifully"
plesa,True,False,"plea, poles, pleas"
plover,True,True,"plover, plovers, lover"
pointer,True,True,"pointer, pointers, printer"
poison dart frog,False,False,No close match found
polar,True,True,"polar, poplar, popular"
pollock,True,True,"pollock, pocock, apollo"
pomeranian,True,False,"pomegranate, pomegranates, persian"
ponies,True,True,"ponies, peonies, paeonies"
pony,True,True,"pony, peony, pon"
pooch,True,False,"pooh, pouch, porch"
poodle,True,True,"poodle, noodle, doodle"
poodle mix,True,False,poodle
porcupine,True,True,"porcupine, porcupines, prune"
pork,True,True,"pork, porky, york"
porpoise,True,True,"porpoise, porpoises, purpose"
possum,True,True,"possum, potassium, pross"
poultry,True,True,"poultry, sultry, prouty"
predatory insects,True,False,predatory
preying mantis,True,False,preying
primate,True,True,"primate, proximate, private"
psychic cephalopod,True,False,psychical
psychic octopus,False,False,No close match found
ptarmigan,True,True,"ptarmigan, parian, parkman"
puffin,True,True,"puffin, puffing, puffin's"
pug,True,True,"pug, plug, purge"
pullet,True,True,"pullet, pulley, pulled"
puma,True,True,"puma, puna, pump"
pup,True,True,"pup, pups, pump"
puppies,True,True,"puppies, puppets, poppies"
puppy,True,True,"puppy, poppy, pup"
puss,True,True,"puss, pussy, pus"
pygmy goat,False,False,No close match found
python,True,False,"peyton, upton, thorn"
quail,True,True,"quail, quailed, quilt"
quarterhorse,True,False,"quarters, quartered, quarter"
rabbit,True,True,"rabbit, rabbits, rabbi"
raccoon,True,False,"accordion, roon, coon"
racehorse,True,False,"remorse, anchors, races"
racehorses,True,False,"choruses, horses, chores"
ragamuffin,True,True,"ragamuffin, ragamuffins, muffin"
rainbow trout,True,False,"rainbow, rainbows"
ram,True,True,"ram, tram, roam"
raptor,True,False,"orator, captor, rapt"
raptors,True,False,"orators, captors, traitors"
rat,True,True,"rat, rats, rate"
rat snake,True,False,"rattlesnake, snake, snakes"
rattler,True,True,"rattler, rattle, rattles"
rattlesnake,True,True,"rattlesnake, rattles, rattle"
raven,True,True,"raven, ravens, graven"
ray,True,True,"ray, tray, rays"
red ruffed lemur,False,False,No close match found
redbird,True,True,"redbird, reid, bird"
redbreast,True,True,"redbreast, rosebreast, breast"
redfish,True,False,"reddish, relish, elfish"
redtail,True,True,"redtail, retail, retailed"
reef shark,True,False,"shark, reefs"
reef sharks,True,False,"sharks, shark's, remarks"
reindeer,True,True,"reindeer, reminder, render"
reptile,True,True,"reptile, reptiles, reticule"
reptiles,True,True,"reptiles, reptile, retires"
reticulated giraffe,True,False,articulated
rhino,True,False,"rhine, rhiannon, rio"
rhino calf,False,False,No close match found
rhinoceros,True,True,"rhinoceros, princes, pincers"
rhinoceroses,True,False,"rhinoceros, princesses, princess"
rhinocerous,True,False,"rhinoceros, rigorous, innocuous"
rhinos,True,False,"urchins, ruinous, heinous"
rhinos elephants,True,False,"elephants, elephant's, elephant"
roach,True,True,"roach, broach, reach"
roaring lion,True,False,"roaring, rangon, origin"
robin,True,True,"robin, robins, robin's"
rockfish,True,False,"rockies, rocks, brackish"
rodent,True,False,"rodents, ardent, rode"
rodents,True,True,"rodents, rents, rhodes"
roe,True,True,"roe, rove, rote"
rook,True,True,"rook, rooks, krook"
rooster,True,True,"rooster, roosters, roost"
rottweiler,True,False,"trotter, rattler, prowler"
rottweiler mix,False,False,No close match found
rottweiller,True,False,"weller, tiller, teller"
royal bengal tigers,False,False,No close match found
rusty blackbird,True,False,"blackbird, blackbirds"
