Word1,Word2,Value
albatross,silkworm,1
albatross,skate,0
albatross,skunk,0
albatross,skylark,0
albatross,sloth,0
albatross,slug,0
albatross,smelt,0
albatross,snail,1
albatross,snake,0
albatross,snakes,0
albatross,snapper,0
albatross,snipe,1
albatross,sow,0
albatross,spaniel,1
albatross,sparrow,1
albatross,spider,1
albatross,spiders,1
albatross,sponge,0
albatross,sprat,0
albatross,squab,0
albatross,squirrel,0
albatross,stag,0
albatross,stallion,1
albatross,stallions,1
albatross,starfish,1
albatross,starling,0
albatross,steed,0
albatross,steer,1
albatross,stork,0
albatross,sturgeon,1
albatross,sunfish,1
albatross,swallow,1
albatross,swan,0
albatross,swift,0
albatross,swine,1
albatross,tabby,0
albatross,tadpole,0
albatross,takin,0
albatross,tanager,1
albatross,tang,0
albatross,tentacle,1
albatross,tern,1
albatross,terrier,1
albatross,thoroughbred,1
albatross,thrush,0
albatross,tick,0
albatross,tiger,0
albatross,tigers,1
albatross,titmouse,0
albatross,toad,0
albatross,tortoise,1
albatross,tortuga,1
albatross,triggerfish,1
albatross,trotter,0
albatross,trout,1
albatross,trumpeter,0
albatross,tunny,0
albatross,turbot,1
albatross,turkey,0
albatross,turtle,0
albatross,turtles,1
albatross,unicorn,1
albatross,urchin,0
albatross,veal,1
albatross,vermin,1
albatross,viper,1
albatross,vulture,1
albatross,walrus,1
albatross,warbler,1
albatross,wasp,1
albatross,wasps,1
albatross,waterfowl,1
albatross,weasel,1
albatross,whale,1
albatross,whales,1
albatross,whelp,0
albatross,whiff,0
albatross,whitefish,1
albatross,whiting,1
albatross,wildcat,0
albatross,winkle,0
albatross,wolf,0
albatross,wolfhound,1
albatross,wolverine,0
albatross,wolves,0
albatross,woman,0
albatross,woodchuck,0
albatross,woodcock,1
albatross,woodpecker,0
albatross,worm,0
albatross,wren,0
albatross,yak,0
albatross,yellowlegs,1
albatross,zebra,1
alligator,alpaca,0
alligator,anchovies,0
alligator,anchovy,0
alligator,anemone,1
alligator,ant,1
alligator,antelope,1
alligator,antelopes,1
alligator,ants,0
alligator,ape,1
alligator,asp,0
alligator,ass,1
alligator,baboon,1
alligator,baby,0
alligator,badger,1
alligator,bantam,1
alligator,barb,1
