Speech2vec Vocab,Speech2vec Pairwise Cosine Similarity,Word2vec Vocab,Word2vec Pairwise Cosine Similarity
wicked,,wicked,
entrance,,entrance,
majesty,,majesty,
shame,,shame,
capable,,capable,
increased,,increased,
absence,,absence,
anyone,,anyone,
removed,,removed,
german,,german,
mention,,mention,
facts,,facts,
kissed,,kissed,
virtue,,virtue,
forgot,,forgot,
admit,,admit,
couple,,couple,
progress,,progress,
sympathy,,sympathy,
thanks,,thanks,
excited,,excited,
nation,,nation,
objects,,objects,
hunting,,hunting,
begged,,begged,
pressed,,pressed,
union,,union,
car,,car,
highest,,highest,
clouds,,clouds,
hide,,hide,
sheep,,sheep,
speed,,speed,
becomes,,becomes,
wishes,,wishes,
strike,,strike,
accordingly,,accordingly,
education,,education,
stretched,,stretched,
we're,,we're,
material,,material,
temper,,temper,
bag,,bag,
military,,military,
choose,,choose,
miserable,,miserable,
eighty,,eighty,
ahead,,ahead,
listening,,listening,
larger,,larger,
flight,,flight,
crown,,crown,
stories,,stories,
excuse,,excuse,
devil,,devil,
throat,,throat,
europe,,europe,
proof,,proof,
cook,,cook,
innocent,,innocent,
slaves,,slaves,
foreign,,foreign,
mamma,,mamma,
lamp,,lamp,
throughout,,throughout,
unhappy,,unhappy,
judgment,,judgment,
wet,,wet,
waves,,waves,
arrival,,arrival,
informed,,informed,
fruit,,fruit,
choice,,choice,
trembling,,trembling,
notes,,notes,
ended,,ended,
hadn't,,hadn't,
cost,,cost,
aid,,aid,
